"instance";"dataset";"ts";"model";"preprocess";"augment";"window_size";"test_size";"strategy";"true";"pred";"mse";"smape";"r2"
"arima";"gdp";"brazil";"arima";"none";"none";0;1;"ro";1881458,564748;1869256,80653704;148882903,438794;0,650636318840807;-Inf
"arima";"gdp";"brazil";"arima";"none";"none";0;2;"ro";1476107,292037;1901248,98734042;90447171994,4523;12,913320731118;-1,20187115324781
"arima";"gdp";"brazil";"arima";"none";"none";0;3;"ro";1649622,886218;1314984,83993044;97625655337,3536;16,1340592451497;-2,54050955071354
"arima";"gdp";"brazil";"arima";"none";"none";0;4;"ro";1920095,477164;1788374,10329238;77556871586,6718;13,8764977080349;-1,38664598799465
"arima";"gdp";"brazil";"arima";"none";"none";0;5;"ro";2136919,783907;1876474,43779396;75611852931,7259;13,6969595766056;-0,447013260138954
"arima";"gdp";"brazil";"arima";"none";"none";0;1;"sa";1881458,564748;1869256,80653704;148882903,438794;0,650636318840807;-Inf
"arima";"gdp";"brazil";"arima";"none";"none";0;2;"sa";1476107,292037;1884512,00903565;83471647885,0917;12,4779805234166;-1,03205705097684
"arima";"gdp";"brazil";"arima";"none";"none";0;3;"sa";1649622,886218;1879630,79414624;73282311159,9037;12,6634421042217;-1,65766945853962
"arima";"gdp";"brazil";"arima";"none";"none";0;4;"sa";1920095,477164;1881192,63895287;55340091075,1481;10,0092875712766;-0,702972330339047
"arima";"gdp";"brazil";"arima";"none";"none";0;5;"sa";2136919,783907;1880692,89467706;57402516613,0089;10,5584663039523;-0,0985341515089153
"knn";"gdp";"brazil";"knn";"diff";"none";6;1;"ro";1881458,564748;1957480,3965793;5779318914,98648;3,96056476006151;-Inf
"knn";"gdp";"brazil";"knn";"diff";"none";6;2;"ro";1476107,292037;1904087,3179683;94473110755,5713;14,6416843201584;-1,29987972805869
"knn";"gdp";"brazil";"knn";"diff";"none";6;3;"ro";1649622,886218;1411180,547551;81933656793,377;14,95458147851;-1,97142071312522
"knn";"gdp";"brazil";"knn";"diff";"none";6;4;"ro";1920095,477164;1747899,1724614;68863134433,3404;13,5632174049469;-1,11911491726946
"knn";"gdp";"brazil";"knn";"diff";"none";6;5;"ro";2136919,783907;1996369,722037;59041371525,0045;12,2107502355164;-0,129897551520324
"knn";"gdp";"brazil";"knn";"diff";"none";6;1;"sa";1881458,564748;1957480,3965793;5779318914,98648;3,96056476006151;-Inf
"knn";"gdp";"brazil";"knn";"diff";"none";6;2;"sa";1476107,292037;1974208,1258239;126941879767,096;16,4166678539046;-2,09030848654245
"knn";"gdp";"brazil";"knn";"diff";"none";6;3;"sa";1649622,886218;1919536,5309226;108912378377,304;15,9860365119917;-2,94983587565462
