"X","mes_pagamento","valor_pago_total"
13,2015-01-01,16002687.3
14,2015-02-01,13912377.5
15,2015-03-01,16054626.07
16,2015-04-01,14453862.3
17,2015-05-01,17434609.48
18,2015-06-01,20794953.73
19,2015-07-01,21869050.56
20,2015-08-01,19092507
21,2015-09-01,16271225.03
22,2015-10-01,13983442.62
23,2015-11-01,11516257.99
24,2015-12-01,12073303.98
25,2016-01-01,13662462.62
26,2016-02-01,13516406.76
27,2016-03-01,20045011.28
28,2016-04-01,25378434.72
29,2016-05-01,38854263.3
30,2016-06-01,28072766.1
31,2016-07-01,25314788.07
32,2016-08-01,24745284.14
33,2016-09-01,26336224.1
34,2016-10-01,29434566.97
35,2016-11-01,25645152.36
36,2016-12-01,23877675.14
37,2017-01-01,27828031.6
38,2017-02-01,19695944.02
39,2017-03-01,24841266.2
40,2017-04-01,21761151.36
41,2017-05-01,28459735.99
42,2017-06-01,29756368.72
43,2017-07-01,36390537.3
44,2017-08-01,38475886.29
45,2017-09-01,35139647.18
46,2017-10-01,33356442.82
47,2017-11-01,24547540.91
48,2017-12-01,21877391.42
49,2018-01-01,30867898.43
50,2018-02-01,29564683.96
51,2018-03-01,23783928.58
52,2018-04-01,32389801.23
53,2018-05-01,32451629.58
54,2018-06-01,34365893.38
55,2018-07-01,45526153.7899999
56,2018-08-01,40706066.56
57,2018-09-01,32778710.84
58,2018-10-01,25714419.45
59,2018-11-01,19304124.43
60,2018-12-01,20580338.62
61,2019-01-01,27783026.28
62,2019-02-01,20717506.43
63,2019-03-01,18225067.05
64,2019-04-01,21188231.33
65,2019-05-01,23155415.11
66,2019-06-01,18435548.88
67,2019-07-01,24563462.7
68,2019-08-01,20427204.41
69,2019-09-01,23695768.55
70,2019-10-01,19998513.58
71,2019-11-01,17721294.86
72,2019-12-01,15899614.51
73,2020-01-01,20084544.05
74,2020-02-01,14459286.51
75,2020-03-01,10697908.44
76,2020-04-01,4051147.11
77,2020-05-01,6185907.65
78,2020-06-01,8599981.99
79,2020-07-01,12161978.26
80,2020-08-01,14217436.7
81,2020-09-01,11649256.99
82,2020-10-01,10653400.56
83,2020-11-01,8277887.28
84,2020-12-01,8703199.66
85,2021-01-01,8789806.3
86,2021-02-01,6721951.9
87,2021-03-01,7460577.89
88,2021-04-01,6818182.78
89,2021-05-01,11563059.36
90,2021-06-01,14613457.84
91,2021-07-01,17468558.66
92,2021-08-01,15264965.26
93,2021-09-01,12452307.43
94,2021-10-01,18085280.36
95,2021-11-01,33092194.7900001
96,2021-12-01,28102547.4000001
97,2022-01-01,55711834.64
98,2022-02-01,22206270.95
99,2022-03-01,27405980.37
100,2022-04-01,18118459.36
101,2022-05-01,28994982.77
102,2022-06-01,21161707.11
103,2022-07-01,26635045.92
104,2022-08-01,22209667.34
105,2022-09-01,22954979.52
106,2022-10-01,17581583.94
107,2022-11-01,17770360.42
108,2022-12-01,16364828.3
109,2023-01-01,23627943.9
110,2023-02-01,16028740.34
111,2023-03-01,20220782.93
112,2023-04-01,15464611.84
113,2023-05-01,19836665.74
114,2023-06-01,19244346.6
115,2023-07-01,22298035.35
116,2023-08-01,28905828.51
117,2023-09-01,24623641.5
118,2023-10-01,27296017.81
119,2023-11-01,19777322.46
120,2023-12-01,21782398.24
121,2024-01-01,42304511.94
122,2024-02-01,28137700.08
123,2024-03-01,27004473.55
124,2024-04-01,28365253.47
125,2024-05-01,26939240.42
126,2024-06-01,26603586.14
127,2024-07-01,29412823.41
128,2024-08-01,16705206.47
129,2024-09-01,14038060.74
130,2024-10-01,14693206.76
131,2024-11-01,12731022.35
132,2024-12-01,13273088.33
